race_id,race_date,description
3039,2/19/2023,2023 F&G Race#4
3038,2/12/2023,2023 F&G Race#3
3037,2/5/2023,2023 F&G Race#2
3036,1/15/2023,2023 F&G Race#1
3035,12/31/2022,2023 Time Trials
2037,2/27/2022,2022F&G#4
2036,2/21/2022,2022F&G#3
2035,1/22/2022,2022F&G#2
2034,1/9/2022,2022F&G#1
2033,1/2/2022,2022 Time Trials
2032,2/29/2020,2020 F&G Race#4
2031,2/16/2020,2020 F&G Race#3
2030,2/2/2020,2020 F&G Race#2
2029,1/19/2020,2020 F&G Race#1
1033,2/17/2019,2019 F&G Race#4
1032,2/3/2019,2019 F&G Race#3
1031,1/27/2019,2019 F&G Race#2
1030,1/13/2019,2019 F&G Race#1
1029,12/30/2018,2019 Time Trials
1028,2/18/2018,2018 F&G Race#5 (GS)
1027,2/4/2018,2018 F&G Race#4 (SL/GS)
1026,1/28/2018,2018 F&G Race#3 (GS)
1025,1/14/2018,2018 F&G Race#2 (GS)
1024,1/7/2018,2018 F&G Race#1 (GS)
1023,12/30/2017,2018 Time Trials
1022,2/19/2017,2017 F&G Race#5 (SL)
1021,2/5/2017,2017 F&G Race#4 (GS)
1020,1/29/2017,2017 F&G Race#3 (SL)
1019,1/15/2017,2017 F&G Race#2 (GS)
1018,1/8/2017,2017 F&G Race#1 (GS)
1017,12/31/2016,2017 Time Trials
19,2/28/2016,2016 F&G Race#4
18,2/14/2016,2016 F&G Race#3
17,1/24/2016,2016 F&G Race#2
16,1/17/2016,2016 F&G Race#1
15,2/22/2015,2015 F&G Race#4
14,2/15/2015,2015 F&G Race#3
13,1/18/2015,2015 F&G Race#2
12,1/5/2015,2015 F&G Race#1
11,12/31/2014,2015 Time Trials
10,2/22/2014,2014 F&G Race#4
9,2/2/2014,2014 F&G Race#3
8,1/19/2014,2014 F&G Race#2
7,1/12/2014,2014 F&G Race#1
1,1/1/2014,2014 Time Trials
2,1/1/2013,2013 F&G Race#1
3,1/1/2013,2013 F&G Race#2
4,1/1/2013,2013 F&G Race#3
5,1/1/2013,2013 F&G Race#4
6,1/1/2013,2013 F&G Race#5